links001;;;;;;;;;;;;;;;
Date:;04.02.2008;;;;;;;;;;;;;;
Time:;16:29:01;;;;;;;;;;;;;;
Type:;;;;;;;;;;;;;;;
Description:;;;;;;;;;;;;;;;
Notes:;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;
120;Hz;;;;;;;;;;;;;;
;LUPA;;;LELB;;;LFRM;;;LSHO;;;LFIN;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
80;570,069823;-1524,291092;1389,326782;633,673232;-1546,53082;1252,099363;630,962563;-1599,938489;1127,264636;436,120196;-1488,747476;1523,935001;612,15433;-1628,721626;983,522055
81;562,737822;-1519,608607;1388,982617;626,391871;-1542,517964;1252,462401;623,711143;-1596,119404;1127,457336;430,208945;-1482,250969;1524,514787;605,578094;-1624,704758;983,448664
82;555,608114;-1514,807443;1388,779248;619,059163;-1538,450231;1252,605189;616,230696;-1592,232677;1127,667845;424,366648;-1475,557117;1524,928419;598,758751;-1620,575302;983,632426
83;548,552341;-1509,899474;1388,839594;611,732144;-1534,326086;1252,708182;608,688025;-1588,079715;1127,926596;418,442377;-1468,758244;1525,099484;591,828815;-1616,332484;983,831709
84;541,541085;-1505,033112;1388,98102;604,494422;-1529,989444;1252,84889;601,007124;-1583,64014;1128,21568;412,430256;-1461,763636;1525,441491;584,692013;-1611,862885;983,933809
85;534,627832;-1500,122176;1388,958133;597,186484;-1525,5034;1253,000064;593,153681;-1579,056347;1128,496243;406,380661;-1454,507999;1525,82907;577,471097;-1607,180942;984,073973
86;527,50191;-1494,779728;1388,672125;589,821822;-1520,891196;1253,360696;585,165933;-1574,33167;1128,656082;400,350313;-1447,143155;1526,078636;570,238052;-1602,297299;984,014573
87;520,293529;-1489,21972;1388,587597;582,431257;-1515,923994;1253,542574;577,177184;-1569,418805;1128,665802;394,234605;-1439,638802;1526,336343;562,718574;-1597,144905;983,609659
88;513,172002;-1483,468995;1388,756134;574,505014;-1510,725751;1253,425516;569,34296;-1564,393591;1128,749009;388,017749;-1431,904246;1526,595353;554,435925;-1591,112844;983,067081
89;506,053123;-1477,513611;1388,705388;566,104234;-1505,473556;1253,146436;561,474497;-1559,157823;1128,934379;381,866395;-1424,096363;1526,843441;545,555188;-1584,220156;982,559124
90;498,979017;-1471,510407;1388,532013;558,158652;-1500,161497;1252,58595;553,461504;-1553,658811;1128,996276;375,704525;-1416,253201;1527,042031;536,989289;-1577,570894;982,220628
91;491,926993;-1465,376938;1388,667764;550,806485;-1494,812734;1253,399333;545,389526;-1548,004086;1128,93869;369,485685;-1408,328927;1527,226693;528,879596;-1571,360465;982,060964
92;484,889837;-1459,07127;1388,959336;543,394941;-1489,328274;1253,719413;537,263356;-1542,252862;1128,982501;363,336694;-1400,366026;1527,457157;520,935695;-1565,071172;982,084034
93;477,944895;-1452,607322;1389,15123;535,757711;-1483,612657;1253,782466;529,137715;-1536,319725;1129,243084;357,274552;-1392,475818;1527,910892;512,955712;-1558,46635;982,149777
94;470,924778;-1446,04207;1389,437055;528,061941;-1477,69065;1253,981614;521,129951;-1530,085059;1129,599803;351,14382;-1384,592099;1528,549023;504,827704;-1551,633483;982,282842
95;463,81513;-1439,389873;1389,777066;520,655049;-1471,802537;1254,678425;513,233725;-1523,726611;1129,87306;344,956877;-1376,541513;1529,199144;496,761269;-1544,769736;982,768324
96;456,844604;-1432,727748;1390,167865;513,264636;-1466,099032;1255,682706;505,256349;-1517,200477;1130,107719;338,790393;-1368,38717;1530,010065;488,688732;-1537,769354;983,244816
97;449,953915;-1426,126778;1390,813138;505,531549;-1460,138516;1256,30979;497,069024;-1510,416355;1130,54785;332,600235;-1360,140088;1530,911586;480,594246;-1530,607668;983,595246
98;442,985255;-1419,498741;1391,691564;497,740695;-1453,816494;1256,706686;488,739914;-1503,636002;1131,230747;326,580482;-1351,898111;1531,879938;472,60062;-1523,405617;984,120796
99;435,886644;-1412,839195;1392,687494;489,97606;-1447,372228;1257,129761;480,368446;-1496,893606;1131,853106;320,667647;-1343,75463;1532,948635;464,596933;-1516,078488;984,746529
100;428,704776;-1406,248259;1393,509098;482,110219;-1440,916404;1257,543539;471,798013;-1489,811533;1132,230567;314,633579;-1335,55546;1533,980745;456,549572;-1508,619614;985,31802
101;421,430589;-1399,674518;1394,085851;474,206206;-1434,437516;1258,108659;462,918339;-1482,307288;1132,497537;308,769968;-1327,248133;1534,999833;448,18155;-1501,068224;985,679388
102;414,030916;-1393,136798;1394,595745;466,486293;-1428,00664;1258,696888;454,052113;-1474,832086;1132,739916;303,107103;-1318,969039;1536,193956;439,571155;-1493,318884;986,028643
103;406,650125;-1386,697002;1395,163922;458,950001;-1421,731108;1259,091556;445,422707;-1467,741219;1132,93091;297,283395;-1310,739252;1537,39518;431,158481;-1485,394518;986,400716
104;399,357774;-1380,312999;1395,829976;451,298796;-1415,487934;1259,430266;436,981203;-1460,914374;1133,154532;291,473993;-1302,511329;1538,352914;422,657384;-1477,622975;986,561932
105;392,128834;-1373,929286;1396,392757;443,397154;-1409,308413;1259,673127;428,472231;-1453,912198;1133,256053;285,838209;-1294,102922;1538,864497;413,795868;-1469,966756;986,50128
106;384,967648;-1367,5003;1396,738942;435,493272;-1403,204345;1259,76941;419,809884;-1446,818946;1133,198022;280,274417;-1285,499823;1538,986185;404,822785;-1462,092662;986,294387
107;377,998003;-1360,969069;1396,988707;427,821497;-1397,098145;1259,817878;411,391219;-1439,911703;1133,291236;274,955114;-1277,227979;1539,333663;395,871771;-1454,072249;985,864034
108;371,001897;-1354,330836;1397,05685;420,163491;-1391,062302;1259,566778;403,050983;-1433,001868;1133,221604;269,848822;-1269,265065;1539,785072;386,919353;-1446,102017;985,283056
109;363,787078;-1347,771492;1396,749805;412,444217;-1385,151442;1259,13116;394,356312;-1426,074269;1132,499666;264,797387;-1261,372001;1540,03954;377,949018;-1438,19051;984,80221
110;356,844695;-1341,304385;1396,209617;404,891477;-1379,27986;1258,773976;385,616723;-1419,141124;1131,548868;259,822797;-1253,534708;1540,23509;368,584926;-1430,148457;984,092247
111;350,274135;-1334,785146;1395,595338;397,43799;-1373,354402;1258,247466;377,021871;-1412,207556;1130,882536;254,915447;-1245,61734;1540,312266;359,262358;-1422,138066;983,260143
112;343,683184;-1328,219467;1395,170946;389,893595;-1367,358255;1257,486616;368,567141;-1405,344574;1130,305939;250,027191;-1237,736442;1540,201568;350,460498;-1414,37237;982,540823
113;337,245649;-1321,644507;1395,033289;382,423322;-1361,419261;1256,878244;360,234838;-1398,421032;1129,497406;245,090691;-1229,899152;1539,922399;341,715283;-1406,33928;981,852222
114;330,831905;-1314,892709;1394,611922;375,044535;-1355,3966;1256,500343;351,760559;-1391,343256;1128,512536;240,230116;-1221,958759;1539,528142;332,806063;-1397,836122;981,162887
115;324,222257;-1307,900276;1393,973801;367,71505;-1349,118852;1255,957379;343,318797;-1384,187204;1127,682465;235,633748;-1213,963326;1539,331859;323,847075;-1389,580858;980,322047
